Cleared/Open Items Symbol,Account,Reference,Trading partner,Document Number,Document type,Assignment,Business Area,Credit control area,Document Date,Posting Date,Special G/L Ind.,Net Due Date Symbol,Amount in Local Currency,Local Currency,Clearing Document,Text
,1018504,90881676,,207,U4,WGC22300155435,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-6494.08,USD,,
,1018504,90881677,,208,U4,WGC22320158120,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-2178.66,USD,,
,1018504,90881678,,209,U4,WGC22340160653,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-3659.76,USD,,
,1018504,90881679,,210,U4,WPS07220010862,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-2.31,USD,,
,1018504,90883178,,218,U4,016766ARK1857201,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-6.78,USD,,
,1018504,90883193,,233,U4,COS220634841,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-463.56,USD,,
,1018504,90883198,,238,U4,EXADU000164788,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-1.62,USD,,
,1018504,90883199,,239,U4,EXPAHU01402890,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-2.83,USD,,
,1018504,90883200,,240,U4,EXPAHU01402891,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-6.15,USD,,
,1018504,90883201,,241,U4,EXPAHU01402892,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-5.13,USD,,
,1018504,90883202,,242,U4,EXPAHU01427407,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-3.03,USD,,
,1018504,90883203,,243,U4,EXPAHU01427411,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-6.15,USD,,
,1018504,90883204,,244,U4,EXPAHU01427412,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-1.68,USD,,
,1018504,90883205,,245,U4,EXPAHU01451843,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-4.18,USD,,
,1018504,90883206,,246,U4,EXPAHU01451844,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-2.5,USD,,
,1018504,90883207,,247,U4,EXPAHU01451848,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-1.85,USD,,
,1018504,90883208,,248,U4,EXPAHU01451849,5100,5000,Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),Fri May 12 2023 05:30:00 GMT+0530 (India Standard Time),,,-6.15,USD,,
